Name,OD_in,ID_in,Weight_lbft,Grade,UNS_Code,Material,Connection,Yield_psi,Burst_psi
2-7/8" M65 (6.5#),2.875,2.441,6.50,M65,K06500,Carbon Steel,API EUE,65000,8580
2-7/8" C75 (6.5#),2.875,2.441,6.50,C75,K07500,NACE Carbon Steel,API EUE,75000,9900
2-7/8" L80-1 (6.5#),2.875,2.441,6.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,10570
2-7/8" L80-13Cr (6.5#),2.875,2.441,6.50,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,10570
2-7/8" S13Cr-110 (6.5#),2.875,2.441,6.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (TenarisHydril),110000,14530
2-7/8" 17Cr-110 (6.5#),2.875,2.441,6.50,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,14530
2-7/8" 22Cr-110 (6.5#),2.875,2.441,6.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,14530
2-7/8" 25Cr-125 (6.5#),2.875,2.441,6.50,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,16500
2-7/8" N80 (6.5#),2.875,2.441,6.50,N80,K08001,Carbon Steel,API EUE,80000,10570
2-7/8" C95 (6.5#),2.875,2.441,6.50,C95,K09500,Controlled Yield Steel,API EUE,95000,12550
2-7/8" T95 (6.5#),2.875,2.441,6.50,T95,K09501,NACE Carbon Steel,API EUE,95000,12550
2-7/8" P110 (6.5#),2.875,2.441,6.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,14530
2-7/8" Q125 (6.5#),2.875,2.441,6.50,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,16500
2-7/8" J-55 (7.9#),2.875,2.323,7.90,J-55,K05500,Carbon Steel,API EUE,55000,9580
2-7/8" L80-1 (7.9#),2.875,2.323,7.90,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,13930
2-7/8" L80-13Cr (7.9#),2.875,2.323,7.90,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,13930
2-7/8" S13Cr-110 (7.9#),2.875,2.323,7.90,S13Cr-110,S41426,Super Martensitic CRA,Premium (TenarisHydril),110000,19150
2-7/8" 22Cr-110 (7.9#),2.875,2.323,7.90,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,19150
2-7/8" P110 (7.9#),2.875,2.323,7.90,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,19150
2-7/8" Q125 (7.9#),2.875,2.323,7.90,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,21760
3-1/2" H40 (7.7#),3.500,3.068,7.70,H40,K04000,Carbon Steel,API NUE,40000,4370
3-1/2" J-55 (9.2#),3.500,2.992,9.20,J-55,K05500,Carbon Steel,API NUE,55000,6980
3-1/2" J-55 (9.3#),3.500,2.992,9.30,J-55,K05500,Carbon Steel,API EUE,55000,6980
3-1/2" K-55 (9.3#),3.500,2.992,9.30,K-55,K05501,Carbon Steel,API EUE,55000,6980
3-1/2" M65 (9.3#),3.500,2.992,9.30,M65,K06500,Carbon Steel,API EUE,65000,8250
3-1/2" C75 (9.3#),3.500,2.992,9.30,C75,K07500,NACE Carbon Steel,API EUE,75000,9520
3-1/2" L80-1 (9.2#),3.500,2.992,9.20,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,10160
3-1/2" L80-13Cr (9.2#),3.500,2.992,9.20,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,10160
3-1/2" S13Cr-110 (9.2#),3.500,2.992,9.20,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,13970
3-1/2" 17Cr-110 (9.2#),3.500,2.992,9.20,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,13970
3-1/2" 22Cr-110 (9.2#),3.500,2.992,9.20,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,13970
3-1/2" 25Cr-125 (9.2#),3.500,2.992,9.20,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,15870
3-1/2" N80 (9.2#),3.500,2.992,9.20,N80,K08001,Carbon Steel,API EUE,80000,10160
3-1/2" C95 (9.2#),3.500,2.992,9.20,C95,K09500,Controlled Yield Steel,API EUE,95000,12065
3-1/2" T95 (9.2#),3.500,2.992,9.20,T95,K09501,NACE Carbon Steel,API EUE,95000,12065
3-1/2" P110 (9.2#),3.500,2.992,9.20,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,13970
3-1/2" Q125 (9.2#),3.500,2.992,9.20,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,15870
3-1/2" J-55 (10.2#),3.500,2.922,10.20,J-55,K05500,Carbon Steel,API EUE,55000,8120
3-1/2" L80-1 (10.2#),3.500,2.922,10.20,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,11810
3-1/2" L80-13Cr (10.2#),3.500,2.922,10.20,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,11810
3-1/2" S13Cr-110 (10.2#),3.500,2.922,10.20,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,16240
3-1/2" 22Cr-110 (10.2#),3.500,2.922,10.20,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,16240
3-1/2" P110 (10.2#),3.500,2.922,10.20,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,16240
3-1/2" Q125 (10.2#),3.500,2.922,10.20,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,18450
4" J-55 (9.5#),4.000,3.548,9.50,J-55,K05500,Carbon Steel,API EUE,55000,5600
4" L80-1 (9.5#),4.000,3.548,9.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,8140
4" L80-13Cr (9.5#),4.000,3.548,9.50,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,8140
4" S13Cr-110 (9.5#),4.000,3.548,9.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,11200
4" 22Cr-110 (9.5#),4.000,3.548,9.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,11200
4" P110 (9.5#),4.000,3.548,9.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,11200
4" J-55 (11.0#),4.000,3.476,11.00,J-55,K05500,Carbon Steel,API EUE,55000,6540
4" L80-1 (11.0#),4.000,3.476,11.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,9520
4" L80-13Cr (11.0#),4.000,3.476,11.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,9520
4" S13Cr-110 (11.0#),4.000,3.476,11.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,13090
4" 17Cr-110 (11.0#),4.000,3.476,11.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,13090
4" 22Cr-110 (11.0#),4.000,3.476,11.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,13090
4" 25Cr-125 (11.0#),4.000,3.476,11.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,14870
4" P110 (11.0#),4.000,3.476,11.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,13090
4" Q125 (11.0#),4.000,3.476,11.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,14870
4-1/2" H40 (9.5#),4.500,4.090,9.50,H40,K04000,Carbon Steel,API NUE,40000,3280
4-1/2" J-55 (11.6#),4.500,4.000,11.60,J-55,K05500,Carbon Steel,API EUE,55000,4960
4-1/2" K-55 (11.6#),4.500,4.000,11.60,K-55,K05501,Carbon Steel,API EUE,55000,4960
4-1/2" M65 (11.6#),4.500,4.000,11.60,M65,K06500,Carbon Steel,API EUE,65000,5860
4-1/2" C75 (11.6#),4.500,4.000,11.60,C75,K07500,NACE Carbon Steel,API EUE,75000,6760
4-1/2" L80-1 (11.6#),4.500,4.000,11.60,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7210
4-1/2" L80-13Cr (11.6#),4.500,4.000,11.60,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7210
4-1/2" S13Cr-110 (11.6#),4.500,4.000,11.60,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9910
4-1/2" 22Cr-110 (11.6#),4.500,4.000,11.60,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9910
4-1/2" 25Cr-125 (11.6#),4.500,4.000,11.60,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,11260
4-1/2" N80 (11.6#),4.500,4.000,11.60,N80,K08001,Carbon Steel,API EUE,80000,7210
4-1/2" C95 (11.6#),4.500,4.000,11.60,C95,K09500,Controlled Yield Steel,API EUE,95000,8560
4-1/2" T95 (11.6#),4.500,4.000,11.60,T95,K09501,NACE Carbon Steel,API EUE,95000,8560
4-1/2" P110 (11.6#),4.500,4.000,11.60,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9910
4-1/2" Q125 (11.6#),4.500,4.000,11.60,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,11260
4-1/2" J-55 (12.6#),4.500,3.958,12.60,J-55,K05500,Carbon Steel,API EUE,55000,6170
4-1/2" L80-1 (12.6#),4.500,3.958,12.60,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,8980
4-1/2" L80-13Cr (12.6#),4.500,3.958,12.60,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,8980
4-1/2" S13Cr-110 (12.6#),4.500,3.958,12.60,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,12340
4-1/2" 17Cr-110 (12.6#),4.500,3.958,12.60,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,12340
4-1/2" 22Cr-110 (12.6#),4.500,3.958,12.60,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,12340
4-1/2" 25Cr-125 (12.6#),4.500,3.958,12.60,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,14020
4-1/2" P110 (12.6#),4.500,3.958,12.60,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,12340
4-1/2" Q125 (12.6#),4.500,3.958,12.60,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,14020
4-1/2" L80-1 (13.5#),4.500,3.920,13.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,9850
4-1/2" S13Cr-110 (13.5#),4.500,3.920,13.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,13540
4-1/2" 22Cr-110 (13.5#),4.500,3.920,13.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,13540
4-1/2" P110 (13.5#),4.500,3.920,13.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,13540
4-1/2" Q125 (13.5#),4.500,3.920,13.50,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,15390
5" J-55 (13.0#),5.000,4.494,13.00,J-55,K05500,Carbon Steel,API EUE,55000,4960
5" L80-1 (13.0#),5.000,4.494,13.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7210
5" L80-13Cr (13.0#),5.000,4.494,13.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7210
5" S13Cr-110 (13.0#),5.000,4.494,13.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9910
5" 22Cr-110 (13.0#),5.000,4.494,13.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9910
5" P110 (13.0#),5.000,4.494,13.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9910
5" J-55 (15.0#),5.000,4.408,15.00,J-55,K05500,Carbon Steel,API EUE,55000,5810
5" L80-1 (15.0#),5.000,4.408,15.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,8450
5" L80-13Cr (15.0#),5.000,4.408,15.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,8450
5" S13Cr-110 (15.0#),5.000,4.408,15.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,11620
5" 17Cr-110 (15.0#),5.000,4.408,15.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,11620
5" 22Cr-110 (15.0#),5.000,4.408,15.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,11620
5" 25Cr-125 (15.0#),5.000,4.408,15.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,13200
5" P110 (15.0#),5.000,4.408,15.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,11620
5" Q125 (15.0#),5.000,4.408,15.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,13200
5-1/2" J-55 (15.5#),5.500,4.950,15.50,J-55,K05500,Carbon Steel,API EUE,55000,4810
5-1/2" K-55 (15.5#),5.500,4.950,15.50,K-55,K05501,Carbon Steel,API EUE,55000,4810
5-1/2" M65 (15.5#),5.500,4.950,15.50,M65,K06500,Carbon Steel,API EUE,65000,5685
5-1/2" C75 (15.5#),5.500,4.950,15.50,C75,K07500,NACE Carbon Steel,API EUE,75000,6560
5-1/2" L80-1 (15.5#),5.500,4.950,15.50,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7000
5-1/2" L80-13Cr (15.5#),5.500,4.950,15.50,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7000
5-1/2" S13Cr-110 (15.5#),5.500,4.950,15.50,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9625
5-1/2" 22Cr-110 (15.5#),5.500,4.950,15.50,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9625
5-1/2" N80 (15.5#),5.500,4.950,15.50,N80,K08001,Carbon Steel,API EUE,80000,7000
5-1/2" C95 (15.5#),5.500,4.950,15.50,C95,K09500,Controlled Yield Steel,API EUE,95000,8310
5-1/2" T95 (15.5#),5.500,4.950,15.50,T95,K09501,NACE Carbon Steel,API EUE,95000,8310
5-1/2" P110 (15.5#),5.500,4.950,15.50,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9625
5-1/2" Q125 (15.5#),5.500,4.950,15.50,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,10935
5-1/2" J-55 (17.0#),5.500,4.892,17.00,J-55,K05500,Carbon Steel,API EUE,55000,5320
5-1/2" L80-1 (17.0#),5.500,4.892,17.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7740
5-1/2" L80-13Cr (17.0#),5.500,4.892,17.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7740
5-1/2" S13Cr-110 (17.0#),5.500,4.892,17.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,10640
5-1/2" 17Cr-110 (17.0#),5.500,4.892,17.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,10640
5-1/2" 22Cr-110 (17.0#),5.500,4.892,17.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,10640
5-1/2" 25Cr-125 (17.0#),5.500,4.892,17.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,12090
5-1/2" P110 (17.0#),5.500,4.892,17.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,10640
5-1/2" Q125 (17.0#),5.500,4.892,17.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,12090
5-1/2" L80-1 (20.0#),5.500,4.778,20.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,9190
5-1/2" S13Cr-110 (20.0#),5.500,4.778,20.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,12640
5-1/2" 22Cr-110 (20.0#),5.500,4.778,20.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,12640
5-1/2" P110 (20.0#),5.500,4.778,20.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,12640
5-1/2" Q125 (20.0#),5.500,4.778,20.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,14360
7" J-55 (23.0#),7.000,6.366,23.00,J-55,K05500,Carbon Steel,API EUE,55000,4360
7" K-55 (23.0#),7.000,6.366,23.00,K-55,K05501,Carbon Steel,API EUE,55000,4360
7" M65 (23.0#),7.000,6.366,23.00,M65,K06500,Carbon Steel,API EUE,65000,5150
7" C75 (23.0#),7.000,6.366,23.00,C75,K07500,NACE Carbon Steel,API EUE,75000,5950
7" L80-1 (23.0#),7.000,6.366,23.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6340
7" L80-13Cr (23.0#),7.000,6.366,23.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,6340
7" S13Cr-110 (23.0#),7.000,6.366,23.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,8720
7" 22Cr-110 (23.0#),7.000,6.366,23.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,8720
7" N80 (23.0#),7.000,6.366,23.00,N80,K08001,Carbon Steel,API EUE,80000,6340
7" C95 (23.0#),7.000,6.366,23.00,C95,K09500,Controlled Yield Steel,API EUE,95000,7530
7" T95 (23.0#),7.000,6.366,23.00,T95,K09501,NACE Carbon Steel,API EUE,95000,7530
7" P110 (23.0#),7.000,6.366,23.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,8720
7" Q125 (23.0#),7.000,6.366,23.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,9910
7" J-55 (26.0#),7.000,6.276,26.00,J-55,K05500,Carbon Steel,API EUE,55000,4980
7" L80-1 (26.0#),7.000,6.276,26.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,7240
7" L80-13Cr (26.0#),7.000,6.276,26.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,7240
7" S13Cr-110 (26.0#),7.000,6.276,26.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9960
7" 17Cr-110 (26.0#),7.000,6.276,26.00,17Cr-110,S42000,Enhanced Martensitic CRA,Premium (VAM Top),110000,9960
7" 22Cr-110 (26.0#),7.000,6.276,26.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9960
7" 25Cr-125 (26.0#),7.000,6.276,26.00,25Cr-125,S32750,Super Duplex CRA,Premium (VAM Top),125000,11320
7" P110 (26.0#),7.000,6.276,26.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9960
7" Q125 (26.0#),7.000,6.276,26.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,11320
7" L80-1 (29.0#),7.000,6.184,29.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,8160
7" S13Cr-110 (29.0#),7.000,6.184,29.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,11220
7" 22Cr-110 (29.0#),7.000,6.184,29.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,11220
7" P110 (29.0#),7.000,6.184,29.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,11220
7" Q125 (29.0#),7.000,6.184,29.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,12750
7-5/8" J-55 (26.4#),7.625,6.969,26.40,J-55,K05500,Carbon Steel,API EUE,55000,4180
7-5/8" L80-1 (26.4#),7.625,6.969,26.40,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6080
7-5/8" L80-13Cr (26.4#),7.625,6.969,26.40,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,6080
7-5/8" S13Cr-110 (26.4#),7.625,6.969,26.40,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,8360
7-5/8" 22Cr-110 (26.4#),7.625,6.969,26.40,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,8360
7-5/8" P110 (26.4#),7.625,6.969,26.40,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,8360
7-5/8" Q125 (26.4#),7.625,6.969,26.40,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,9500
7-5/8" L80-1 (29.7#),7.625,6.875,29.70,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6890
7-5/8" S13Cr-110 (29.7#),7.625,6.875,29.70,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,9470
7-5/8" 22Cr-110 (29.7#),7.625,6.875,29.70,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,9470
7-5/8" P110 (29.7#),7.625,6.875,29.70,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,9470
7-5/8" Q125 (29.7#),7.625,6.875,29.70,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,10760
8-5/8" J-55 (32.0#),8.625,7.921,32.00,J-55,K05500,Carbon Steel,API EUE,55000,3930
8-5/8" L80-1 (32.0#),8.625,7.921,32.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,5710
8-5/8" L80-13Cr (32.0#),8.625,7.921,32.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,5710
8-5/8" S13Cr-110 (32.0#),8.625,7.921,32.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,7850
8-5/8" 22Cr-110 (32.0#),8.625,7.921,32.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,7850
8-5/8" P110 (32.0#),8.625,7.921,32.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,7850
8-5/8" Q125 (32.0#),8.625,7.921,32.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,8920
8-5/8" L80-1 (36.0#),8.625,7.825,36.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,6520
8-5/8" S13Cr-110 (36.0#),8.625,7.825,36.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,8960
8-5/8" 22Cr-110 (36.0#),8.625,7.825,36.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,8960
8-5/8" P110 (36.0#),8.625,7.825,36.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,8960
8-5/8" Q125 (36.0#),8.625,7.825,36.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,10180
9-5/8" H40 (32.3#),9.625,9.001,32.30,H40,K04000,Carbon Steel,API NUE,40000,2270
9-5/8" J-55 (36.0#),9.625,8.921,36.00,J-55,K05500,Carbon Steel,API EUE,55000,3520
9-5/8" K-55 (36.0#),9.625,8.921,36.00,K-55,K05501,Carbon Steel,API EUE,55000,3520
9-5/8" M65 (36.0#),9.625,8.921,36.00,M65,K06500,Carbon Steel,API EUE,65000,4160
9-5/8" C75 (36.0#),9.625,8.921,36.00,C75,K07500,NACE Carbon Steel,API EUE,75000,4800
9-5/8" L80-1 (36.0#),9.625,8.921,36.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,5120
9-5/8" L80-13Cr (36.0#),9.625,8.921,36.00,L80-13Cr,S41000,Martensitic Stainless,Premium (VAM Top),80000,5120
9-5/8" S13Cr-110 (36.0#),9.625,8.921,36.00,S13Cr-110,S41426,Super Martensitic CRA,Premium (VAM Top),110000,7040
9-5/8" 22Cr-110 (36.0#),9.625,8.921,36.00,22Cr-110,S31803,Duplex Stainless,Premium (VAM Top),110000,7040
9-5/8" N80 (36.0#),9.625,8.921,36.00,N80,K08001,Carbon Steel,API EUE,80000,5120
9-5/8" C95 (36.0#),9.625,8.921,36.00,C95,K09500,Controlled Yield Steel,API EUE,95000,6080
9-5/8" T95 (36.0#),9.625,8.921,36.00,T95,K09501,NACE Carbon Steel,API EUE,95000,6080
9-5/8" P110 (36.0#),9.625,8.921,36.00,P110,K01100,High-Strength Alloy,Premium (TenarisHydril),110000,7040
9-5/8" Q125 (36.0#),9.625,8.921,36.00,Q125,K01250,High-Strength Alloy,Premium (VAM Top),125000,8000
9-5/8" J-55 (40.0#),9.625,8.835,40.00,J-55,K05500,Carbon Steel,API EUE,55000,3950
9-5/8" L80-1 (40.0#),9.625,8.835,40.00,L80-1,K08000,NACE Carbon Steel (26 HRC Max),API EUE,80000,5750
